1,2011,-1.11
2,2011,1.71
3,2011,5.36
4,2011,10.88
5,2011,16.62
6,2011,21.78
7,2011,26.08
8,2011,23.84
9,2011,20.61
10,2011,14.39
11,2011,10.48
12,2011,6.61
1,2012,3.21
2,2012,4.67
3,2012,9.09
4,2012,12.14
5,2012,17.17
6,2012,21.25
7,2012,25.35
8,2012,24.67
9,2012,20.82
10,2012,15.38
11,2012,6.52
12,2012,5.81
1,2013,2.26
2,2013,1.36
3,2013,4.09
4,2013,10.13
5,2013,15.17
6,2013,20.81
7,2013,25.65
8,2013,23.17
9,2013,19.67
10,2013,15.56
11,2013,7.77
12,2013,3.72
1,2014,-1.01
2,2014,-0.18
3,2014,3.13
4,2014,9.65
5,2014,16.57
6,2014,21.6
7,2014,23.79
8,2014,23.21
9,2014,20.83
10,2014,15.71
11,2014,7.55
12,2014,5.47
1,2015,-0.31
2,2015,-3.68
3,2015,3.16
4,2015,10.96
5,2015,17.37
6,2015,21.05
7,2015,25.39
8,2015,25.6
9,2015,22.6
10,2015,14.4
11,2015,11.86
12,2015,10.46
1,2016,1.88
2,2016,3.29
3,2016,8.19
4,2016,10.31
5,2016,15.14
6,2016,21.96
7,2016,25.38
8,2016,25.86
9,2016,21.62
10,2016,15.01
11,2016,10.38
12,2016,4.6
